Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,OBP+,SLG+,wRC+
Cal Raleigh,SEA,C,29,159,596,110,147,24,0,60,125,14,4,97,188,0,3,9,0.247,0.359,0.589,0.948,115,145,161
Maikel Garcia,KC,3B,25,160,595,81,170,39,5,16,74,23,9,62,84,3,5,1,0.286,0.351,0.449,0.8,112,111,121
Maikel Garcia,KC,3B,25,160,595,81,170,39,5,16,74,23,9,62,84,3,5,1,0.286,0.351,0.449,0.8,112,111,121
Willy Adames,SF,SS,30,160,591,94,133,22,2,30,87,12,4,80,179,0,9,5,0.225,0.318,0.421,0.739,100,105,108
Willy Adames,SF,SS,30,160,591,94,133,22,2,30,87,12,4,80,179,0,9,5,0.225,0.318,0.421,0.739,100,105,108
Pete Crow-Armstrong,CHC,OF,23,157,591,91,146,37,4,31,95,35,8,29,155,6,12,9,0.247,0.287,0.481,0.768,90,120,109
Pete Crow-Armstrong,CHC,OF,23,157,591,91,146,37,4,31,95,35,8,29,155,6,12,9,0.247,0.287,0.481,0.768,90,120,109
Dansby Swanson,CHC,SS,31,159,590,84,144,24,3,24,77,20,3,47,168,1,5,2,0.244,0.3,0.417,0.717,94,104,99
Dansby Swanson,CHC,SS,31,159,590,84,144,24,3,24,77,20,3,47,168,1,5,2,0.244,0.3,0.417,0.717,94,104,99
Trea Turner,PHI,SS,32,141,589,94,179,31,7,15,69,36,7,43,107,0,2,5,0.304,0.355,0.457,0.812,112,114,125
Trea Turner,PHI,SS,32,141,589,94,179,31,7,15,69,36,7,43,107,0,2,5,0.304,0.355,0.457,0.812,112,114,125
Mookie Betts,LAD,SS,33,150,589,95,152,23,2,20,82,8,2,61,68,0,10,3,0.258,0.326,0.406,0.732,103,101,104
Mookie Betts,LAD,SS,33,150,589,95,152,23,2,20,82,8,2,61,68,0,10,3,0.258,0.326,0.406,0.732,103,101,104
Cody Bellinger,NYY,OF,30,152,588,89,160,25,5,29,98,13,2,57,90,0,9,2,0.272,0.334,0.48,0.814,107,118,125
Cody Bellinger,NYY,OF,30,152,588,89,160,25,5,29,98,13,2,57,90,0,9,2,0.272,0.334,0.48,0.814,107,118,125
Jose Altuve,HOU,2B,35,155,588,80,156,24,1,26,77,10,6,55,109,1,6,4,0.265,0.329,0.442,0.771,105,109,113
Jose Altuve,HOU,2B,35,155,588,80,156,24,1,26,77,10,6,55,109,1,6,4,0.265,0.329,0.442,0.771,105,109,113
Brandon Nimmo,NYM,OF,32,155,587,81,154,27,0,25,92,13,1,50,141,1,7,7,0.262,0.324,0.436,0.76,102,108,114
Brandon Nimmo,NYM,OF,32,155,587,81,154,27,0,25,92,13,1,50,141,1,7,7,0.262,0.324,0.436,0.76,102,108,114
Bryan Reynolds,PIT,OF,30,154,587,68,144,38,3,16,73,3,2,57,173,0,3,7,0.245,0.318,0.402,0.72,100,100,99
Bryan Reynolds,PIT,OF,30,154,587,68,144,38,3,16,73,3,2,57,173,0,3,7,0.245,0.318,0.402,0.72,100,100,99
Jackson Holliday,BAL,2B,21,149,586,70,142,21,3,17,55,17,11,56,140,0,1,6,0.242,0.314,0.375,0.689,100,93,96
Jackson Holliday,BAL,2B,21,149,586,70,142,21,3,17,55,17,11,56,140,0,1,6,0.242,0.314,0.375,0.689,100,93,96
Christian Walker,HOU,1B,34,154,585,72,139,24,1,27,88,2,1,40,177,0,4,11,0.238,0.297,0.421,0.718,95,104,99
Christian Walker,HOU,1B,34,154,585,72,139,24,1,27,88,2,1,40,177,0,4,11,0.238,0.297,0.421,0.718,95,104,99
Brice Turang,MIL,2B,26,156,584,97,168,28,2,18,81,24,8,66,150,2,5,2,0.288,0.359,0.435,0.794,113,108,124
Brice Turang,MIL,2B,26,156,584,97,168,28,2,18,81,24,8,66,150,2,5,2,0.288,0.359,0.435,0.794,113,108,124
Bo Bichette,TOR,SS,27,139,582,78,181,44,1,18,94,4,3,40,91,0,3,3,0.311,0.357,0.483,0.84,114,119,134
Bo Bichette,TOR,SS,27,139,582,78,181,44,1,18,94,4,3,40,91,0,3,3,0.311,0.357,0.483,0.84,114,119,134
Andy Pages,LAD,OF,24,156,581,74,158,27,1,27,86,14,7,29,135,0,6,8,0.272,0.313,0.461,0.774,99,115,113
Andy Pages,LAD,OF,24,156,581,74,158,27,1,27,86,14,7,29,135,0,6,8,0.272,0.313,0.461,0.774,99,115,113
CJ Abrams,WSH,SS,25,144,580,92,149,35,5,19,60,31,3,37,125,1,3,14,0.257,0.315,0.433,0.748,99,108,107
CJ Abrams,WSH,SS,25,144,580,92,149,35,5,19,60,31,3,37,125,1,3,14,0.257,0.315,0.433,0.748,99,108,107
TJ Friedl,CIN,OF,30,152,579,82,151,22,2,14,53,12,3,81,115,4,5,16,0.261,0.364,0.378,0.742,115,94,109
TJ Friedl,CIN,OF,30,152,579,82,151,22,2,14,53,12,3,81,115,4,5,16,0.261,0.364,0.378,0.742,115,94,109
Taylor Ward,LAA,OF,31,157,579,86,132,31,2,36,103,4,1,75,175,0,6,3,0.228,0.317,0.475,0.792,101,117,117
Taylor Ward,LAA,OF,31,157,579,86,132,31,2,36,103,4,1,75,175,0,6,3,0.228,0.317,0.475,0.792,101,117,117
Juan Soto,NYM,OF,27,160,577,120,152,20,1,43,105,38,4,127,137,1,6,3,0.263,0.396,0.525,0.921,125,131,156
Juan Soto,NYM,OF,27,160,577,120,152,20,1,43,105,38,4,127,137,1,6,3,0.263,0.396,0.525,0.921,125,131,156
Gunnar Henderson,BAL,SS,24,154,577,85,158,34,5,17,68,30,5,62,137,0,5,7,0.274,0.349,0.438,0.787,111,108,120
Gunnar Henderson,BAL,SS,24,154,577,85,158,34,5,17,68,30,5,62,137,0,5,7,0.274,0.349,0.438,0.787,111,108,120
Christian Yelich,MIL,DH,33,150,573,88,151,21,0,29,103,16,6,64,167,0,1,6,0.264,0.343,0.452,0.795,108,112,121
Christian Yelich,MIL,DH,33,150,573,88,151,21,0,29,103,16,6,64,167,0,1,6,0.264,0.343,0.452,0.795,108,112,121
Seiya Suzuki,CHC,OF,31,151,571,75,140,31,3,32,103,5,2,71,164,0,8,1,0.245,0.326,0.478,0.804,103,119,123
Seiya Suzuki,CHC,OF,31,151,571,75,140,31,3,32,103,5,2,71,164,0,8,1,0.245,0.326,0.478,0.804,103,119,123
J.P. Crawford,SEA,SS,30,157,570,69,151,24,0,12,58,8,1,74,122,6,1,3,0.265,0.352,0.37,0.722,112,91,113
J.P. Crawford,SEA,SS,30,157,570,69,151,24,0,12,58,8,1,74,122,6,1,3,0.265,0.352,0.37,0.722,112,91,113
Ian Happ,CHC,OF,31,150,569,87,138,32,0,23,79,6,3,87,151,0,5,2,0.243,0.342,0.42,0.762,108,104,116
Ian Happ,CHC,OF,31,150,569,87,138,32,0,23,79,6,3,87,151,0,5,2,0.243,0.342,0.42,0.762,108,104,116
Lawrence Butler,ATH,OF,25,152,569,83,133,30,2,21,63,22,7,59,179,2,0,0,0.234,0.306,0.404,0.71,98,100,96
Lawrence Butler,ATH,OF,25,152,569,83,133,30,2,21,63,22,7,59,179,2,0,0,0.234,0.306,0.404,0.71,98,100,96
William Contreras,MIL,C,27,150,566,89,147,28,0,17,76,6,4,84,120,0,6,3,0.26,0.355,0.399,0.754,112,99,113
William Contreras,MIL,C,27,150,566,89,147,28,0,17,76,6,4,84,120,0,6,3,0.26,0.355,0.399,0.754,112,99,113
Corbin Carroll,ARI,OF,25,143,564,107,146,32,17,31,84,32,6,67,153,0,4,7,0.259,0.343,0.541,0.884,108,134,139
Corbin Carroll,ARI,OF,25,143,564,107,146,32,17,31,84,32,6,67,153,0,4,7,0.259,0.343,0.541,0.884,108,134,139
Spencer Torkelson,DET,1B,26,155,563,82,135,27,1,31,78,2,1,72,169,0,5,9,0.24,0.333,0.456,0.789,106,113,118
Spencer Torkelson,DET,1B,26,155,563,82,135,27,1,31,78,2,1,72,169,0,5,9,0.24,0.333,0.456,0.789,106,113,118
Tyler Soderstrom,ATH,OF,24,158,561,75,155,34,1,25,93,8,3,55,141,0,2,6,0.276,0.346,0.474,0.82,111,117,125
Tyler Soderstrom,ATH,OF,24,158,561,75,155,34,1,25,93,8,3,55,141,0,2,6,0.276,0.346,0.474,0.82,111,117,125
Xavier Edwards,MIA,2B,26,139,561,75,159,20,5,3,43,27,7,49,88,3,3,3,0.283,0.343,0.353,0.696,108,88,95
Xavier Edwards,MIA,2B,26,139,561,75,159,20,5,3,43,27,7,49,88,3,3,3,0.283,0.343,0.353,0.696,108,88,95
Jung Hoo Lee,SF,OF,27,150,560,73,149,31,12,8,55,10,3,47,71,0,4,6,0.266,0.327,0.407,0.734,103,101,107
Jung Hoo Lee,SF,OF,27,150,560,73,149,31,12,8,55,10,3,47,71,0,4,6,0.266,0.327,0.407,0.734,103,101,107
Freddie Freeman,LAD,1B,36,147,556,81,164,39,2,24,90,6,2,60,128,0,5,6,0.295,0.367,0.502,0.869,116,125,139
Freddie Freeman,LAD,1B,36,147,556,81,164,39,2,24,90,6,2,60,128,0,5,6,0.295,0.367,0.502,0.869,116,125,139
Jackson Chourio,MIL,OF,21,131,549,88,148,35,4,21,78,21,7,30,121,1,6,3,0.27,0.308,0.463,0.771,97,115,111
Jackson Chourio,MIL,OF,21,131,549,88,148,35,4,21,78,21,7,30,121,1,6,3,0.27,0.308,0.463,0.771,97,115,111
Nick Castellanos,PHI,OF,33,147,547,72,137,27,2,17,72,4,0,32,133,0,6,4,0.25,0.294,0.4,0.694,93,100,90
Nick Castellanos,PHI,OF,33,147,547,72,137,27,2,17,72,4,0,32,133,0,6,4,0.25,0.294,0.4,0.694,93,100,90
Ceddanne Rafaela,BOS,OF,25,156,546,84,136,34,4,16,63,20,5,28,117,3,2,8,0.249,0.295,0.414,0.709,94,102,91
Ceddanne Rafaela,BOS,OF,25,156,546,84,136,34,4,16,63,20,5,28,117,3,2,8,0.249,0.295,0.414,0.709,94,102,91
Ernie Clement,TOR,3B,29,157,545,83,151,35,2,9,50,6,5,27,61,7,5,4,0.277,0.313,0.398,0.711,100,98,98
Ernie Clement,TOR,3B,29,157,545,83,151,35,2,9,50,6,5,27,61,7,5,4,0.277,0.313,0.398,0.711,100,98,98
Otto Lopez,MIA,SS,27,143,544,66,134,21,0,15,77,15,6,44,82,0,3,3,0.246,0.305,0.368,0.673,96,91,86
Otto Lopez,MIA,SS,27,143,544,66,134,21,0,15,77,15,6,44,82,0,3,3,0.246,0.305,0.368,0.673,96,91,86
Yainer Diaz,HOU,C,27,143,542,56,139,25,1,20,70,1,1,20,95,0,3,2,0.256,0.284,0.417,0.701,91,103,92
Yainer Diaz,HOU,C,27,143,542,56,139,25,1,20,70,1,1,20,95,0,3,2,0.256,0.284,0.417,0.701,91,103,92
Aaron Judge,NYY,OF,33,152,541,137,179,30,2,53,114,12,5,124,160,0,7,7,0.331,0.457,0.688,1.145,146,170,204
Aaron Judge,NYY,OF,33,152,541,137,179,30,2,53,114,12,5,124,160,0,7,7,0.331,0.457,0.688,1.145,146,170,204
Hunter Goodman,COL,C,26,144,540,73,150,28,5,31,91,1,2,33,152,0,2,4,0.278,0.323,0.52,0.843,102,129,118
Hunter Goodman,COL,C,26,144,540,73,150,28,5,31,91,1,2,33,152,0,2,4,0.278,0.323,0.52,0.843,102,129,118
Jordan Beck,COL,OF,24,148,539,62,139,27,5,16,53,19,8,43,174,0,1,4,0.258,0.317,0.416,0.733,100,103,90
Jordan Beck,COL,OF,24,148,539,62,139,27,5,16,53,19,8,43,174,0,1,4,0.258,0.317,0.416,0.733,100,103,90
Anthony Volpe,NYY,SS,24,153,539,65,114,32,4,19,72,18,8,43,150,3,7,4,0.212,0.272,0.391,0.663,87,97,83
Anthony Volpe,NYY,SS,24,153,539,65,114,32,4,19,72,18,8,43,150,3,7,4,0.212,0.272,0.391,0.663,87,97,83
