Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,OBP+,SLG+,wRC+
Josh Jung,TEX,3B,27,131,482,53,121,23,1,14,61,4,1,27,129,0,0,2,0.251,0.294,0.39,0.684,94,96,91
Josh Jung,TEX,3B,27,131,482,53,121,23,1,14,61,4,1,27,129,0,0,2,0.251,0.294,0.39,0.684,94,96,91
Shea Langeliers,ATH,C,28,123,481,73,133,32,0,31,72,7,1,36,103,0,5,1,0.277,0.325,0.536,0.861,104,132,132
Shea Langeliers,ATH,C,28,123,481,73,133,32,0,31,72,7,1,36,103,0,5,1,0.277,0.325,0.536,0.861,104,132,132
Ketel Marte,ARI,2B,32,126,480,87,136,28,0,28,72,4,2,64,83,0,3,9,0.283,0.376,0.517,0.893,118,129,145
Ketel Marte,ARI,2B,32,126,480,87,136,28,0,28,72,4,2,64,83,0,3,9,0.283,0.376,0.517,0.893,118,129,145
Andrew McCutchen,PIT,DH,39,135,477,51,114,22,0,13,57,1,1,67,118,0,3,2,0.239,0.333,0.367,0.7,105,91,95
Andrew McCutchen,PIT,DH,39,135,477,51,114,22,0,13,57,1,1,67,118,0,3,2,0.239,0.333,0.367,0.7,105,91,95
Eric Wagaman,MIA,1B,28,140,476,56,119,28,3,9,53,4,1,32,100,0,5,1,0.25,0.296,0.378,0.674,93,94,85
Eric Wagaman,MIA,1B,28,140,476,56,119,28,3,9,53,4,1,32,100,0,5,1,0.25,0.296,0.378,0.674,93,94,85
Jorge Polanco,SEA,2B,32,138,471,64,125,30,0,26,78,6,3,42,82,3,5,3,0.265,0.326,0.495,0.821,104,122,132
Jorge Polanco,SEA,2B,32,138,471,64,125,30,0,26,78,6,3,42,82,3,5,3,0.265,0.326,0.495,0.821,104,122,132
Oneil Cruz,PIT,OF,27,135,471,62,94,18,3,20,61,38,5,64,174,0,5,4,0.2,0.298,0.378,0.676,94,94,86
Oneil Cruz,PIT,OF,27,135,471,62,94,18,3,20,61,38,5,64,174,0,5,4,0.2,0.298,0.378,0.676,94,94,86
Marcus Semien,TEX,2B,35,127,470,62,108,16,1,15,62,11,1,50,93,0,9,5,0.23,0.305,0.364,0.669,97,90,89
Marcus Semien,TEX,2B,35,127,470,62,108,16,1,15,62,11,1,50,93,0,9,5,0.23,0.305,0.364,0.669,97,90,89
Joey Ortiz,MIL,SS,27,149,470,62,108,18,1,7,45,14,3,27,74,6,0,3,0.23,0.276,0.317,0.593,87,79,67
Joey Ortiz,MIL,SS,27,149,470,62,108,18,1,7,45,14,3,27,74,6,0,3,0.23,0.276,0.317,0.593,87,79,67
Kyle Manzardo,CLE,1B,25,142,470,47,110,19,2,27,70,2,0,48,135,0,5,8,0.234,0.313,0.455,0.768,100,112,113
Kyle Manzardo,CLE,1B,25,142,470,47,110,19,2,27,70,2,0,48,135,0,5,8,0.234,0.313,0.455,0.768,100,112,113
Josh Bell,WSH,1B,33,140,468,54,111,16,1,22,63,0,3,57,88,0,3,5,0.237,0.325,0.417,0.742,102,104,107
Josh Bell,WSH,1B,33,140,468,54,111,16,1,22,63,0,3,57,88,0,3,5,0.237,0.325,0.417,0.742,102,104,107
Ben Rice,NYY,C,26,138,467,74,119,28,4,26,65,3,2,50,100,0,2,9,0.255,0.337,0.499,0.836,108,123,133
Ben Rice,NYY,C,26,138,467,74,119,28,4,26,65,3,2,50,100,0,2,9,0.255,0.337,0.499,0.836,108,123,133
Alec Bohm,PHI,3B,29,120,464,53,133,18,3,11,59,2,0,29,82,0,6,5,0.287,0.331,0.409,0.74,104,102,105
Alec Bohm,PHI,3B,29,120,464,53,133,18,3,11,59,2,0,29,82,0,6,5,0.287,0.331,0.409,0.74,104,102,105
Addison Barger,TOR,OF,26,135,460,61,112,32,1,21,74,4,1,36,121,0,2,3,0.243,0.301,0.454,0.755,96,112,107
Addison Barger,TOR,OF,26,135,460,61,112,32,1,21,74,4,1,36,121,0,2,3,0.243,0.301,0.454,0.755,96,112,107
Brendan Donovan,STL,2B,28,118,460,64,132,32,0,10,50,3,3,42,67,2,4,7,0.287,0.353,0.422,0.775,111,105,119
Brendan Donovan,STL,2B,28,118,460,64,132,32,0,10,50,3,3,42,67,2,4,7,0.287,0.353,0.422,0.775,111,105,119
Mike Trout,LAA,OF,34,130,456,73,106,14,1,26,64,2,0,87,178,0,6,6,0.232,0.359,0.439,0.798,115,108,120
Mike Trout,LAA,OF,34,130,456,73,106,14,1,26,64,2,0,87,178,0,6,6,0.232,0.359,0.439,0.798,115,108,120
Matt Chapman,SF,3B,32,128,454,76,105,23,2,21,61,9,4,71,126,0,4,6,0.231,0.34,0.43,0.77,107,107,118
Matt Chapman,SF,3B,32,128,454,76,105,23,2,21,61,9,4,71,126,0,4,6,0.231,0.34,0.43,0.77,107,107,118
Zach McKinstry,DET,SS,30,144,452,68,117,23,11,12,49,19,5,46,111,1,5,7,0.259,0.333,0.438,0.771,106,108,114
Zach McKinstry,DET,SS,30,144,452,68,117,23,11,12,49,19,5,46,111,1,5,7,0.259,0.333,0.438,0.771,106,108,114
Alejandro Kirk,TOR,C,27,130,451,45,127,18,0,15,76,1,0,48,59,0,6,1,0.282,0.348,0.421,0.769,111,104,116
Alejandro Kirk,TOR,C,27,130,451,45,127,18,0,15,76,1,0,48,59,0,6,1,0.282,0.348,0.421,0.769,111,104,116
Chase Meidroth,CWS,SS,24,122,450,54,114,15,0,5,23,14,4,45,72,3,1,6,0.253,0.329,0.32,0.649,105,79,87
Chase Meidroth,CWS,SS,24,122,450,54,114,15,0,5,23,14,4,45,72,3,1,6,0.253,0.329,0.32,0.649,105,79,87
Gavin Lux,CIN,OF,28,140,446,49,120,28,2,5,53,1,0,56,114,0,1,0,0.269,0.35,0.374,0.724,110,93,102
Gavin Lux,CIN,OF,28,140,446,49,120,28,2,5,53,1,0,56,114,0,1,0,0.269,0.35,0.374,0.724,110,93,102
Caleb Durbin,MIL,3B,25,136,445,60,114,25,0,11,53,18,6,30,50,3,4,24,0.256,0.334,0.387,0.721,105,96,105
Caleb Durbin,MIL,3B,25,136,445,60,114,25,0,11,53,18,6,30,50,3,4,24,0.256,0.334,0.387,0.721,105,96,105
Nathaniel Lowe,WSH,1B,30,119,440,50,95,17,2,16,68,1,0,47,130,0,2,1,0.216,0.292,0.373,0.665,97,95,91
Nathaniel Lowe,WSH,1B,30,119,440,50,95,17,2,16,68,1,0,47,130,0,2,1,0.216,0.292,0.373,0.665,97,95,91
Jake Cronenworth,SD,2B,31,135,419,61,103,20,1,11,59,3,3,69,107,4,7,15,0.246,0.367,0.377,0.744,116,94,117
Jake Cronenworth,SD,2B,31,135,419,61,103,20,1,11,59,3,3,69,107,4,7,15,0.246,0.367,0.377,0.744,116,94,117
Ke'Bryan Hayes,PIT,3B,28,100,369,34,87,10,2,2,36,10,2,18,81,1,0,4,0.236,0.279,0.29,0.569,91,76,65
Ke'Bryan Hayes,PIT,3B,28,100,369,34,87,10,2,2,36,10,2,18,81,1,0,4,0.236,0.279,0.29,0.569,91,76,65
Ryan McMahon,COL,3B,30,100,350,42,76,15,1,16,35,2,1,49,127,0,1,1,0.217,0.314,0.403,0.717,99,95,86
Ryan McMahon,COL,3B,30,100,350,42,76,15,1,16,35,2,1,49,127,0,1,1,0.217,0.314,0.403,0.717,99,95,86
Josh Naylor,ARI,1B,28,93,349,49,102,19,1,11,59,11,2,37,49,0,4,2,0.292,0.36,0.447,0.807,112,115,128
Josh Naylor,ARI,1B,28,93,349,49,102,19,1,11,59,11,2,37,49,0,4,2,0.292,0.36,0.447,0.807,112,115,128
Carlos Correa,MIN,3B,31,93,337,40,90,19,0,7,31,0,0,26,68,0,1,0,0.267,0.319,0.386,0.705,106,99,106
Carlos Correa,MIN,3B,31,93,337,40,90,19,0,7,31,0,0,26,68,0,1,0,0.267,0.319,0.386,0.705,106,99,106
Rafael Devers,SF,1B,29,90,335,52,79,15,0,20,51,0,0,56,116,0,2,2,0.236,0.347,0.46,0.807,118,119,135
Rafael Devers,SF,1B,29,90,335,52,79,15,0,20,51,0,0,56,116,0,2,2,0.236,0.347,0.46,0.807,118,119,135
Mike Yastrzemski,SF,OF,35,97,321,38,74,14,1,8,28,6,2,47,86,2,1,1,0.231,0.33,0.355,0.685,105,100,106
Mike Yastrzemski,SF,OF,35,97,321,38,74,14,1,8,28,6,2,47,86,2,1,1,0.231,0.33,0.355,0.685,105,100,106
Ryan O'Hearn,BAL,1B,32,94,311,45,88,15,1,13,43,3,1,42,63,0,3,5,0.283,0.374,0.463,0.837,116,108,127
Ryan O'Hearn,BAL,1B,32,94,311,45,88,15,1,13,43,3,1,42,63,0,3,5,0.283,0.374,0.463,0.837,116,108,127
Rafael Devers,BOS,1B,29,73,272,47,74,18,0,15,58,1,1,56,76,0,2,4,0.272,0.401,0.504,0.905,118,119,135
Rafael Devers,BOS,1B,29,73,272,47,74,18,0,15,58,1,1,56,76,0,2,4,0.272,0.401,0.504,0.905,118,119,135
Carlos Correa,HOU,3B,31,51,200,23,58,10,0,6,21,0,0,19,45,0,0,1,0.29,0.355,0.43,0.785,106,99,106
Carlos Correa,HOU,3B,31,51,200,23,58,10,0,6,21,0,0,19,45,0,0,1,0.29,0.355,0.43,0.785,106,99,106
Josh Naylor,SEA,1B,28,54,194,32,58,10,0,9,33,19,0,11,34,0,1,2,0.299,0.341,0.49,0.831,112,115,128
Josh Naylor,SEA,1B,28,54,194,32,58,10,0,9,33,19,0,11,34,0,1,2,0.299,0.341,0.49,0.831,112,115,128
Ryan O'Hearn,SD,1B,32,50,163,22,45,6,0,4,20,0,0,16,46,0,1,3,0.276,0.35,0.387,0.737,116,108,127
Ryan O'Hearn,SD,1B,32,50,163,22,45,6,0,4,20,0,0,16,46,0,1,3,0.276,0.35,0.387,0.737,116,108,127
Ryan McMahon,NYY,3B,30,54,159,20,33,8,0,4,18,1,0,21,62,0,2,3,0.208,0.308,0.333,0.641,99,95,86
Ryan McMahon,NYY,3B,30,54,159,20,33,8,0,4,18,1,0,21,62,0,2,3,0.208,0.308,0.333,0.641,99,95,86
Ke'Bryan Hayes,CIN,3B,28,52,158,16,37,6,1,3,13,2,1,18,30,0,1,1,0.234,0.315,0.342,0.657,91,76,65
Ke'Bryan Hayes,CIN,3B,28,52,158,16,37,6,1,3,13,2,1,18,30,0,1,1,0.234,0.315,0.342,0.657,91,76,65
Mike Yastrzemski,KC,OF,35,50,156,30,37,14,0,9,18,1,0,25,22,0,4,1,0.237,0.339,0.5,0.839,105,100,106
Mike Yastrzemski,KC,OF,35,50,156,30,37,14,0,9,18,1,0,25,22,0,4,1,0.237,0.339,0.5,0.839,105,100,106
Nathaniel Lowe,BOS,1B,30,34,100,14,28,6,1,2,16,0,0,15,29,0,3,1,0.28,0.37,0.42,0.79,97,95,91
Nathaniel Lowe,BOS,1B,30,34,100,14,28,6,1,2,16,0,0,15,29,0,3,1,0.28,0.37,0.42,0.79,97,95,91
